id_mission,id_projet,id_intervenant,description,date_debut,date_fin,statut
1,20,129,Mission: Front-end sur Intégration API (projet 20).,2025-04-27,2025-04-29,en_negociation
2,70,127,Mission: SEO sur Maintenance WordPress (projet 70).,2025-01-02,2025-01-26,termine
3,28,18,Mission: Front-end sur Intégration API (projet 28).,2025-04-24,2025-05-08,en_negociation
4,46,22,Mission: Back-end sur Site vitrine (projet 46).,2024-05-23,2024-05-29,en_negociation
5,31,58,Mission: QA sur Développement Back-office (projet 31).,2025-03-30,2025-04-15,en_cours
6,17,114,Mission: SEO sur Audit accessibilité (projet 17).,2025-10-09,2025-11-06,en_cours
7,16,63,Mission: SEO sur Site vitrine (projet 16).,2024-08-01,2024-08-18,en_negociation
8,71,97,Mission: Design sur Audit accessibilité (projet 71).,2025-08-30,2025-09-11,en_negociation
9,63,58,Mission: Design sur Maintenance WordPress (projet 63).,2025-12-13,2025-12-21,termine
10,29,23,Mission: SEO sur Développement Back-office (projet 29).,2025-05-05,2025-06-01,en_cours
11,7,136,Mission: Design sur Site e-commerce (projet 7).,2025-10-14,2025-10-20,termine
12,50,61,Mission: Design sur Intégration API (projet 50).,2024-05-03,2024-05-10,en_negociation
13,27,2,Mission: Design sur Refonte UI/UX (projet 27).,2025-01-17,2025-01-26,en_negociation
14,78,122,Mission: Front-end sur Refonte UI/UX (projet 78).,2025-03-25,2025-04-02,en_negociation
15,18,7,Mission: QA sur Site e-commerce (projet 18).,2025-11-11,2025-11-21,en_negociation
16,39,116,Mission: Design sur Développement Back-office (projet 39).,2024-10-12,2024-10-29,en_cours
17,21,126,Mission: Design sur Maintenance WordPress (projet 21).,2024-06-11,2024-06-25,termine
18,28,82,Mission: Front-end sur Intégration API (projet 28).,2025-05-06,2025-05-17,en_cours
19,59,122,Mission: SEO sur Dashboard analytics (projet 59).,2024-03-01,2024-03-10,en_cours
20,38,50,Mission: QA sur Dashboard analytics (projet 38).,2025-08-03,2025-08-15,en_cours
21,73,130,Mission: QA sur Landing page (projet 73).,2024-09-16,2024-09-25,en_cours
22,9,94,Mission: Design sur Audit accessibilité (projet 9).,2024-11-28,2024-12-05,en_cours
23,27,22,Mission: QA sur Refonte UI/UX (projet 27).,2025-02-03,2025-02-22,en_cours
24,8,32,Mission: Design sur Développement Back-office (projet 8).,2025-11-20,2025-11-28,termine
25,59,17,Mission: QA sur Dashboard analytics (projet 59).,2024-01-22,2024-01-30,en_negociation
26,55,28,Mission: Front-end sur Intégration API (projet 55).,2025-12-04,2025-12-12,en_cours
27,57,41,Mission: QA sur Audit accessibilité (projet 57).,2025-10-17,2025-11-20,en_cours
28,74,140,Mission: Back-end sur Intégration API (projet 74).,2025-06-28,2025-07-03,en_cours
29,13,35,Mission: SEO sur Refonte UI/UX (projet 13).,2025-02-21,2025-02-28,en_negociation
30,28,89,Mission: QA sur Intégration API (projet 28).,2025-05-10,2025-06-05,en_cours
31,27,55,Mission: Front-end sur Refonte UI/UX (projet 27).,2024-12-19,2025-01-06,en_negociation
32,52,40,Mission: QA sur Site e-commerce (projet 52).,2025-11-22,2025-12-08,en_cours
33,24,52,Mission: QA sur Site e-commerce (projet 24).,2024-12-23,2024-12-30,en_cours
34,34,51,Mission: Back-end sur Site vitrine (projet 34).,2024-05-13,2024-06-10,termine
35,45,44,Mission: Front-end sur Développement Back-office (projet 45).,2024-09-30,2024-10-01,en_cours
36,5,80,Mission: Front-end sur Audit accessibilité (projet 5).,2024-04-12,2024-04-13,en_cours
37,32,62,Mission: Back-end sur Site vitrine (projet 32).,2025-02-21,2025-03-01,termine
38,19,120,Mission: SEO sur Maintenance WordPress (projet 19).,2024-05-27,2024-06-07,termine
39,1,45,Mission: Back-end sur Site e-commerce (projet 1).,2024-06-29,2024-07-22,en_cours
40,75,83,Mission: QA sur Dashboard analytics (projet 75).,2025-01-16,2025-02-02,en_cours
41,32,101,Mission: Back-end sur Site vitrine (projet 32).,2025-03-06,2025-04-03,termine
42,32,94,Mission: Back-end sur Site vitrine (projet 32).,2025-02-28,2025-03-18,termine
43,71,76,Mission: QA sur Audit accessibilité (projet 71).,2025-08-28,2025-09-19,termine
44,5,44,Mission: QA sur Audit accessibilité (projet 5).,2024-04-06,2024-04-13,en_cours
45,38,32,Mission: SEO sur Dashboard analytics (projet 38).,2025-08-13,2025-08-15,termine
46,38,6,Mission: QA sur Dashboard analytics (projet 38).,2025-08-13,2025-08-15,en_negociation
47,61,46,Mission: Back-end sur Site e-commerce (projet 61).,2025-01-13,2025-01-15,termine
48,26,2,Mission: Front-end sur Site e-commerce (projet 26).,2025-01-04,2025-01-23,en_negociation
49,23,123,Mission: Back-end sur Landing page (projet 23).,2024-06-04,2024-06-10,en_cours
50,60,135,Mission: SEO sur Site vitrine (projet 60).,2025-10-09,2025-10-16,termine
51,75,77,Mission: QA sur Dashboard analytics (projet 75).,2025-02-18,2025-02-19,termine
52,27,74,Mission: Design sur Refonte UI/UX (projet 27).,2025-01-25,2025-02-10,en_cours
53,71,48,Mission: Back-end sur Audit accessibilité (projet 71).,2025-08-07,2025-09-11,termine
54,64,133,Mission: Back-end sur Maintenance WordPress (projet 64).,2024-11-15,2024-12-09,en_cours
55,12,31,Mission: QA sur Dashboard analytics (projet 12).,2024-05-25,2024-06-09,termine
56,79,59,Mission: Design sur Site vitrine (projet 79).,2024-06-09,2024-06-27,en_cours
57,71,93,Mission: QA sur Audit accessibilité (projet 71).,2025-09-16,2025-09-19,en_cours
58,71,13,Mission: Design sur Audit accessibilité (projet 71).,2025-08-16,2025-09-05,termine
59,51,131,Mission: SEO sur Site vitrine (projet 51).,2024-03-20,2024-03-20,en_negociation
60,20,46,Mission: QA sur Intégration API (projet 20).,2025-04-17,2025-04-27,en_cours
61,38,23,Mission: Design sur Dashboard analytics (projet 38).,2025-08-15,2025-08-15,en_negociation
62,26,115,Mission: Design sur Site e-commerce (projet 26).,2024-12-31,2025-01-23,termine
63,46,95,Mission: Front-end sur Site vitrine (projet 46).,2024-05-26,2024-06-06,en_cours
64,61,1,Mission: Design sur Site e-commerce (projet 61).,2025-01-12,2025-01-15,en_cours
65,77,70,Mission: QA sur Audit accessibilité (projet 77).,2024-09-05,2024-09-19,termine
66,6,61,Mission: SEO sur Développement Back-office (projet 6).,2025-06-14,2025-06-30,en_cours
67,57,60,Mission: Back-end sur Audit accessibilité (projet 57).,2025-10-08,2025-10-27,en_cours
68,77,70,Mission: Design sur Audit accessibilité (projet 77).,2024-09-09,2024-09-19,en_cours
69,23,61,Mission: QA sur Landing page (projet 23).,2024-06-08,2024-06-10,termine
70,47,66,Mission: Design sur Site e-commerce (projet 47).,2024-09-18,2024-10-04,en_cours
71,33,68,Mission: Design sur Développement Back-office (projet 33).,2025-07-05,2025-08-06,en_cours
72,55,37,Mission: QA sur Intégration API (projet 55).,2026-01-22,2026-02-25,en_cours
73,30,39,Mission: SEO sur Optimisation SEO (projet 30).,2024-04-12,2024-04-19,termine
74,2,135,Mission: SEO sur Site e-commerce (projet 2).,2025-10-07,2025-10-30,en_negociation
75,23,127,Mission: Design sur Landing page (projet 23).,2024-05-23,2024-06-10,en_negociation
76,22,84,Mission: Front-end sur Intégration API (projet 22).,2025-11-15,2025-12-11,en_cours
77,61,126,Mission: Back-end sur Site e-commerce (projet 61).,2025-01-13,2025-01-15,en_cours
78,5,62,Mission: SEO sur Audit accessibilité (projet 5).,2024-04-04,2024-04-13,en_cours
79,15,107,Mission: Back-end sur Audit accessibilité (projet 15).,2025-11-27,2025-12-10,en_cours
80,63,125,Mission: QA sur Maintenance WordPress (projet 63).,2025-12-18,2025-12-30,en_negociation
81,79,62,Mission: SEO sur Site vitrine (projet 79).,2024-04-22,2024-05-02,en_cours
82,14,59,Mission: QA sur Optimisation SEO (projet 14).,2024-10-01,2024-10-28,en_cours
83,5,86,Mission: Design sur Audit accessibilité (projet 5).,2024-03-27,2024-04-13,en_negociation
84,23,65,Mission: Front-end sur Landing page (projet 23).,2024-05-22,2024-06-10,termine
85,15,22,Mission: Front-end sur Audit accessibilité (projet 15).,2025-11-02,2025-11-24,en_negociation
86,34,115,Mission: Design sur Site vitrine (projet 34).,2024-05-17,2024-05-26,termine
87,71,60,Mission: QA sur Audit accessibilité (projet 71).,2025-08-18,2025-09-14,en_negociation
88,56,136,Mission: Front-end sur Maintenance WordPress (projet 56).,2025-10-23,2025-10-28,termine
89,11,130,Mission: QA sur Développement Back-office (projet 11).,2025-04-07,2025-04-17,en_cours
90,37,2,Mission: Design sur Site vitrine (projet 37).,2025-08-16,2025-09-03,en_cours
91,2,127,Mission: Front-end sur Site e-commerce (projet 2).,2025-10-18,2025-10-30,en_cours
92,42,105,Mission: QA sur Audit accessibilité (projet 42).,2025-05-26,2025-06-02,termine
93,51,57,Mission: Design sur Site vitrine (projet 51).,2024-03-12,2024-03-17,en_cours
94,19,118,Mission: SEO sur Maintenance WordPress (projet 19).,2024-06-25,2024-07-08,termine
95,3,64,Mission: QA sur Développement Back-office (projet 3).,2025-05-19,2025-06-07,en_cours
96,70,109,Mission: SEO sur Maintenance WordPress (projet 70).,2025-01-17,2025-01-26,en_cours
97,14,126,Mission: SEO sur Optimisation SEO (projet 14).,2024-12-01,2024-12-25,termine
98,55,123,Mission: SEO sur Intégration API (projet 55).,2025-11-27,2025-12-25,en_negociation
99,16,102,Mission: Back-end sur Site vitrine (projet 16).,2024-06-17,2024-07-19,termine
100,18,78,Mission: Front-end sur Site e-commerce (projet 18).,2025-11-03,2025-11-21,termine
101,64,44,Mission: Design sur Maintenance WordPress (projet 64).,2024-10-27,2024-11-18,en_negociation
102,30,6,Mission: Back-end sur Optimisation SEO (projet 30).,2024-05-22,2024-06-17,en_cours
103,3,48,Mission: Back-end sur Développement Back-office (projet 3).,2025-06-01,2025-06-07,en_cours
104,25,74,Mission: QA sur Site vitrine (projet 25).,2025-02-24,2025-03-17,en_cours
105,54,123,Mission: QA sur Dashboard analytics (projet 54).,2025-03-09,2025-03-28,en_cours
106,26,22,Mission: QA sur Site e-commerce (projet 26).,2025-01-22,2025-01-23,en_cours
107,75,27,Mission: SEO sur Dashboard analytics (projet 75).,2025-01-14,2025-02-09,en_cours
108,79,39,Mission: QA sur Site vitrine (projet 79).,2024-06-24,2024-06-27,en_cours
109,31,45,Mission: Front-end sur Développement Back-office (projet 31).,2025-04-12,2025-05-06,termine
110,41,120,Mission: Design sur Site e-commerce (projet 41).,2025-05-27,2025-06-17,en_negociation
111,74,6,Mission: QA sur Intégration API (projet 74).,2025-09-28,2025-10-20,termine
112,58,115,Mission: SEO sur Intégration API (projet 58).,2025-11-12,2025-12-07,en_cours
113,35,107,Mission: QA sur Maintenance WordPress (projet 35).,2025-04-28,2025-05-20,en_cours
114,36,3,Mission: Design sur Landing page (projet 36).,2025-01-22,2025-02-16,en_cours
115,18,20,Mission: SEO sur Site e-commerce (projet 18).,2025-11-20,2025-11-21,termine
116,20,18,Mission: QA sur Intégration API (projet 20).,2025-04-21,2025-04-29,termine
117,23,130,Mission: Design sur Landing page (projet 23).,2024-05-23,2024-06-10,en_cours
118,43,75,Mission: Back-end sur Optimisation SEO (projet 43).,2024-06-19,2024-06-25,en_cours
119,8,108,Mission: Design sur Développement Back-office (projet 8).,2025-11-17,2025-11-28,termine
120,73,47,Mission: QA sur Landing page (projet 73).,2024-09-03,2024-09-17,en_negociation
121,48,127,Mission: SEO sur Développement Back-office (projet 48).,2025-08-22,2025-09-26,en_cours
122,27,133,Mission: QA sur Refonte UI/UX (projet 27).,2025-03-07,2025-03-08,en_cours
123,33,121,Mission: Front-end sur Développement Back-office (projet 33).,2025-06-17,2025-07-06,en_cours
124,75,108,Mission: SEO sur Dashboard analytics (projet 75).,2025-01-19,2025-02-16,en_negociation
125,50,7,Mission: Design sur Intégration API (projet 50).,2024-05-14,2024-05-16,termine
126,18,96,Mission: SEO sur Site e-commerce (projet 18).,2025-11-13,2025-11-21,termine
127,45,63,Mission: Design sur Développement Back-office (projet 45).,2024-08-15,2024-09-19,termine
128,23,23,Mission: SEO sur Landing page (projet 23).,2024-05-23,2024-06-01,en_cours
129,49,63,Mission: SEO sur Refonte UI/UX (projet 49).,2025-12-21,2026-01-04,en_cours
130,21,103,Mission: SEO sur Maintenance WordPress (projet 21).,2024-06-08,2024-06-22,en_cours
131,23,110,Mission: Front-end sur Landing page (projet 23).,2024-05-26,2024-06-10,termine
132,35,99,Mission: Back-end sur Maintenance WordPress (projet 35).,2025-05-26,2025-06-13,en_cours
133,9,8,Mission: SEO sur Audit accessibilité (projet 9).,2024-11-22,2024-12-15,en_cours
134,47,2,Mission: Front-end sur Site e-commerce (projet 47).,2024-09-29,2024-10-04,termine
135,2,125,Mission: Front-end sur Site e-commerce (projet 2).,2025-10-29,2025-10-30,en_cours
136,19,82,Mission: QA sur Maintenance WordPress (projet 19).,2024-05-25,2024-06-20,en_negociation
137,74,115,Mission: QA sur Intégration API (projet 74).,2025-07-23,2025-08-05,en_cours
138,43,90,Mission: Front-end sur Optimisation SEO (projet 43).,2024-05-28,2024-06-09,en_cours
139,11,85,Mission: Design sur Développement Back-office (projet 11).,2025-04-20,2025-04-25,termine
140,12,13,Mission: SEO sur Dashboard analytics (projet 12).,2024-06-14,2024-07-01,en_cours
141,54,74,Mission: SEO sur Dashboard analytics (projet 54).,2025-03-27,2025-03-28,en_negociation
142,68,41,Mission: Design sur Développement Back-office (projet 68).,2024-03-13,2024-04-16,en_negociation
143,18,126,Mission: Design sur Site e-commerce (projet 18).,2025-10-28,2025-11-11,termine
144,65,134,Mission: SEO sur Dashboard analytics (projet 65).,2025-03-12,2025-03-28,en_negociation
145,5,100,Mission: Front-end sur Audit accessibilité (projet 5).,2024-03-26,2024-04-13,termine
146,68,139,Mission: Front-end sur Développement Back-office (projet 68).,2024-03-20,2024-04-16,en_cours
147,34,112,Mission: SEO sur Site vitrine (projet 34).,2024-05-31,2024-06-09,en_cours
148,62,27,Mission: Design sur Site vitrine (projet 62).,2025-03-01,2025-04-05,en_cours
149,69,11,Mission: QA sur Maintenance WordPress (projet 69).,2024-06-23,2024-07-07,en_negociation
150,50,123,Mission: Back-end sur Intégration API (projet 50).,2024-05-08,2024-05-16,termine
151,67,75,Mission: Design sur Intégration API (projet 67).,2024-06-03,2024-06-20,en_negociation
152,8,10,Mission: SEO sur Développement Back-office (projet 8).,2025-11-14,2025-11-28,en_cours
153,7,139,Mission: Front-end sur Site e-commerce (projet 7).,2026-01-09,2026-01-17,en_cours
154,79,105,Mission: SEO sur Site vitrine (projet 79).,2024-04-27,2024-05-22,en_cours
155,27,126,Mission: Back-end sur Refonte UI/UX (projet 27).,2025-02-17,2025-03-07,en_cours
156,8,63,Mission: QA sur Développement Back-office (projet 8).,2025-11-25,2025-11-28,en_negociation
157,61,85,Mission: QA sur Site e-commerce (projet 61).,2025-01-10,2025-01-15,en_negociation
158,50,98,Mission: Design sur Intégration API (projet 50).,2024-05-10,2024-05-16,en_negociation
159,60,44,Mission: QA sur Site vitrine (projet 60).,2025-09-23,2025-10-16,termine
160,20,22,Mission: Design sur Intégration API (projet 20).,2025-04-28,2025-04-29,en_negociation
161,6,126,Mission: Front-end sur Développement Back-office (projet 6).,2025-06-01,2025-06-22,en_cours
162,23,81,Mission: Design sur Landing page (projet 23).,2024-05-26,2024-06-10,en_cours
163,5,100,Mission: Back-end sur Audit accessibilité (projet 5).,2024-04-09,2024-04-13,en_cours
164,14,47,Mission: Design sur Optimisation SEO (projet 14).,2024-12-04,2024-12-14,en_cours
165,59,69,Mission: Back-end sur Dashboard analytics (projet 59).,2024-03-08,2024-03-18,en_cours
166,8,55,Mission: Design sur Développement Back-office (projet 8).,2025-11-10,2025-11-28,en_negociation
167,19,31,Mission: Design sur Maintenance WordPress (projet 19).,2024-06-20,2024-07-08,en_negociation
168,40,18,Mission: Front-end sur Développement Back-office (projet 40).,2024-12-20,2025-01-13,termine
169,77,15,Mission: SEO sur Audit accessibilité (projet 77).,2024-08-29,2024-09-08,en_negociation
170,80,47,Mission: Front-end sur Refonte UI/UX (projet 80).,2024-10-05,2024-10-20,termine
171,73,29,Mission: Design sur Landing page (projet 73).,2024-09-17,2024-09-23,en_cours
172,30,67,Mission: Design sur Optimisation SEO (projet 30).,2024-03-29,2024-04-27,termine
173,27,100,Mission: Back-end sur Refonte UI/UX (projet 27).,2025-02-16,2025-02-21,en_negociation
174,5,42,Mission: Back-end sur Audit accessibilité (projet 5).,2024-04-01,2024-04-13,termine
175,35,41,Mission: Front-end sur Maintenance WordPress (projet 35).,2025-04-08,2025-04-27,termine
176,16,22,Mission: QA sur Site vitrine (projet 16).,2024-08-01,2024-08-18,termine
177,58,129,Mission: Design sur Intégration API (projet 58).,2025-11-05,2025-11-10,en_cours
178,23,86,Mission: Back-end sur Landing page (projet 23).,2024-06-07,2024-06-10,en_cours
179,64,89,Mission: SEO sur Maintenance WordPress (projet 64).,2024-12-13,2024-12-18,en_cours
180,80,135,Mission: Back-end sur Refonte UI/UX (projet 80).,2024-10-13,2024-10-20,termine
181,57,56,Mission: SEO sur Audit accessibilité (projet 57).,2025-10-17,2025-11-02,en_cours
182,42,15,Mission: Back-end sur Audit accessibilité (projet 42).,2025-06-17,2025-06-20,termine
183,9,72,Mission: SEO sur Audit accessibilité (projet 9).,2024-11-28,2024-12-03,en_cours
184,27,4,Mission: Design sur Refonte UI/UX (projet 27).,2025-01-31,2025-02-19,en_negociation
185,4,139,Mission: Design sur Site vitrine (projet 4).,2024-10-10,2024-10-17,en_cours
186,67,23,Mission: Back-end sur Intégration API (projet 67).,2024-05-29,2024-06-07,en_cours
187,74,124,Mission: Design sur Intégration API (projet 74).,2025-07-25,2025-08-10,en_cours
188,36,50,Mission: SEO sur Landing page (projet 36).,2025-02-11,2025-02-19,termine
189,27,130,Mission: QA sur Refonte UI/UX (projet 27).,2025-02-03,2025-03-05,en_cours
190,39,82,Mission: SEO sur Développement Back-office (projet 39).,2024-10-25,2024-10-30,en_cours
191,18,33,Mission: Front-end sur Site e-commerce (projet 18).,2025-10-28,2025-11-21,termine
192,50,136,Mission: SEO sur Intégration API (projet 50).,2024-05-15,2024-05-16,en_cours
193,7,63,Mission: SEO sur Site e-commerce (projet 7).,2025-10-13,2025-10-30,en_cours
194,2,111,Mission: QA sur Site e-commerce (projet 2).,2025-10-15,2025-10-30,termine
195,58,21,Mission: Front-end sur Intégration API (projet 58).,2025-10-15,2025-11-04,en_cours
196,4,87,Mission: QA sur Site vitrine (projet 4).,2024-08-14,2024-09-09,en_negociation
197,11,23,Mission: Back-end sur Développement Back-office (projet 11).,2025-04-14,2025-04-25,en_negociation
198,68,92,Mission: Front-end sur Développement Back-office (projet 68).,2024-03-12,2024-03-26,en_cours
199,28,123,Mission: Back-end sur Intégration API (projet 28).,2025-05-20,2025-06-05,en_cours
200,75,21,Mission: Design sur Dashboard analytics (projet 75).,2025-02-04,2025-02-19,en_cours
201,79,13,Mission: Front-end sur Site vitrine (projet 79).,2024-06-05,2024-06-27,en_negociation
202,14,122,Mission: Back-end sur Optimisation SEO (projet 14).,2024-11-22,2024-12-04,en_cours
203,75,56,Mission: SEO sur Dashboard analytics (projet 75).,2025-02-04,2025-02-13,termine
204,72,96,Mission: Design sur Audit accessibilité (projet 72).,2024-01-30,2024-02-23,termine
205,10,22,Mission: SEO sur Maintenance WordPress (projet 10).,2025-11-29,2025-12-15,en_negociation
206,76,113,Mission: Design sur Optimisation SEO (projet 76).,2025-05-10,2025-05-27,en_negociation
207,66,92,Mission: Back-end sur Maintenance WordPress (projet 66).,2025-01-23,2025-02-07,en_cours
208,69,55,Mission: SEO sur Maintenance WordPress (projet 69).,2024-07-24,2024-08-14,en_cours
209,7,124,Mission: Design sur Site e-commerce (projet 7).,2026-01-14,2026-01-17,en_negociation
210,52,75,Mission: Design sur Site e-commerce (projet 52).,2025-11-24,2025-12-02,en_cours
211,53,19,Mission: Back-end sur Site e-commerce (projet 53).,2025-05-28,2025-05-28,en_negociation
212,24,124,Mission: QA sur Site e-commerce (projet 24).,2024-12-20,2024-12-30,en_cours
213,19,57,Mission: Back-end sur Maintenance WordPress (projet 19).,2024-05-10,2024-06-03,en_cours
214,4,139,Mission: SEO sur Site vitrine (projet 4).,2024-10-29,2024-11-05,termine
215,28,80,Mission: QA sur Intégration API (projet 28).,2025-05-27,2025-06-05,en_cours
216,35,60,Mission: Design sur Maintenance WordPress (projet 35).,2025-05-20,2025-06-01,en_negociation
217,8,73,Mission: Front-end sur Développement Back-office (projet 8).,2025-11-20,2025-11-28,en_cours
218,19,72,Mission: QA sur Maintenance WordPress (projet 19).,2024-05-19,2024-06-07,en_cours
219,1,109,Mission: SEO sur Site e-commerce (projet 1).,2024-06-01,2024-06-19,en_negociation
220,9,63,Mission: Front-end sur Audit accessibilité (projet 9).,2024-11-29,2024-12-04,en_cours
221,62,82,Mission: Design sur Site vitrine (projet 62).,2025-03-09,2025-04-06,termine
222,64,117,Mission: SEO sur Maintenance WordPress (projet 64).,2024-11-16,2024-12-20,termine
223,46,37,Mission: SEO sur Site vitrine (projet 46).,2024-06-04,2024-06-06,termine
224,54,110,Mission: Front-end sur Dashboard analytics (projet 54).,2025-02-18,2025-03-04,en_cours
225,64,11,Mission: Front-end sur Maintenance WordPress (projet 64).,2024-12-02,2024-12-21,termine
226,61,3,Mission: QA sur Site e-commerce (projet 61).,2025-01-09,2025-01-15,termine
227,71,117,Mission: QA sur Audit accessibilité (projet 71).,2025-08-30,2025-09-15,en_cours
228,25,16,Mission: SEO sur Site vitrine (projet 25).,2025-02-23,2025-03-17,en_cours
229,47,127,Mission: Back-end sur Site e-commerce (projet 47).,2024-09-05,2024-09-20,en_negociation
230,51,128,Mission: Front-end sur Site vitrine (projet 51).,2024-03-16,2024-03-20,en_negociation
231,50,85,Mission: QA sur Intégration API (projet 50).,2024-04-30,2024-05-16,en_cours
232,79,42,Mission: QA sur Site vitrine (projet 79).,2024-06-18,2024-06-27,en_cours
233,56,67,Mission: Front-end sur Maintenance WordPress (projet 56).,2025-11-06,2025-11-08,termine
234,5,60,Mission: QA sur Audit accessibilité (projet 5).,2024-04-01,2024-04-13,en_negociation
235,29,125,Mission: Back-end sur Développement Back-office (projet 29).,2025-06-23,2025-06-26,termine
236,76,24,Mission: Front-end sur Optimisation SEO (projet 76).,2025-05-02,2025-06-01,en_cours
237,79,7,Mission: QA sur Site vitrine (projet 79).,2024-06-16,2024-06-27,en_cours
238,20,45,Mission: SEO sur Intégration API (projet 20).,2025-04-28,2025-04-29,termine
239,67,72,Mission: Back-end sur Intégration API (projet 67).,2024-05-29,2024-06-06,en_cours
240,74,83,Mission: Front-end sur Intégration API (projet 74).,2025-08-08,2025-08-17,en_negociation
